0,0.96
0.0025,1.15
0.005,1.05
0.0075,0.87
0.01,1.05
0.0125,1.15
0.015,1.05
0.0175,0.96
0.02,1.05
0.0225,1.05
0.025,0.96
0.0275,1.05
0.03,0.96
0.0325,1.05
0.035,0.96
0.0375,1.05
0.04,0.96
0.0425,1.15
0.045,0.96
0.0475,1.05
0.05,1.05
0.0525,0.96
0.055,1.05
0.0575,1.05
0.06,1.15
0.0625,1.05
0.065,1.05
0.0675,0.96
0.07,0.96
0.0725,1.05
0.075,1.15
0.0775,0.96
0.08,1.05
0.0825,0.96
0.085,0.96
0.0875,1.05
0.09,0.96
0.0925,0.87
0.095,1.15
0.0975,0.96
0.1,0.87
0.1025,0.96
0.105,0.87
0.1075,1.05
0.11,1.05
0.1125,0.96
0.115,0.96
0.1175,0.96
0.12,1.05
0.1225,0.96
0.125,1.15
0.1275,1.15
0.13,1.05
0.1325,0.96
0.135,1.15
0.1375,0.87
0.14,1.15
0.1425,1.15
0.145,1.15
0.1475,1.55
0.15,2.04
0.1525,1.94
0.155,2.44
0.1575,3.53
0.16,5.01
0.1625,7.68
0.165,4.12
0.1675,3.03
0.17,4.32
0.1725,3.92
0.175,3.92
0.1775,4.32
0.18,4.42
0.1825,4.52
0.185,4.72
0.1875,4.72
0.19,5.41
0.1925,5.61
0.195,5.21
0.1975,5.41
0.2,5.61
0.2025,5.61
0.205,5.8
0.2075,6
0.21,6.2
0.2125,6.3
0.215,6.2
0.2175,6.3
0.22,6
0.2225,6.3
0.225,6.2
0.2275,5.9
0.23,6.1
0.2325,6.2
0.235,6.1
0.2375,5.8
0.24,6.3
0.2425,6.2
0.245,6.3
0.2475,6.2
0.25125,6.2
0.25375,6.3
0.25625,6.2
0.25875,6.6
0.26125,6.89
0.26375,6.99
0.26625,6.7
0.26875,6.7
0.27125,6.5
0.27375,6
0.27625,6.5
0.27875,6.6
0.28125,6.89
0.28375,6.6
0.28625,6.4
0.28875,6.3
0.29125,6.1
0.29375,6
0.29625,6.7
0.29875,6.2
0.30125,6.79
0.30375,6.99
0.30625,6.5
0.30875,6.4
0.31125,6.79
0.31375,6.79
0.31625,6.4
0.31875,6.6
0.32125,6.99
0.32375,7.29
0.32625,6.7
0.32875,6.89
0.33125,6.99
0.33375,6.89
0.33625,6.89
0.33875,6.5
0.34125,6
0.34375,6.79
0.34625,7.19
0.34875,6.99
0.35125,7.09
0.35375,6.6
0.35625,6.79
0.35875,7.19
0.36125,7.09
0.36375,6.99
0.36625,6.7
0.36875,7.09
0.37125,6.89
0.37375,6.99
0.37625,7.29
0.37875,7.09
0.38125,6.99
0.38375,6.79
0.38625,6.6
0.38875,6.79
0.39125,6.7
0.39375,6.99
0.39625,7.09
0.39875,6.5
0.40125,7.29
0.40375,7.19
0.40625,7.59
0.40875,7.88
0.41125,6.89
0.41375,6.99
0.41625,6.79
0.41875,6.5
0.42125,6.99
0.42375,7.39
0.42625,7.19
0.42875,7.09
0.43125,7.09
0.43375,7.09
0.43625,7.09
0.43875,6.79
0.44125,7.78
0.44375,7.49
0.44625,6.79
0.44875,6.79
0.45125,6.99
0.45375,6.89
0.45625,7.39
0.45875,7.09
0.46125,7.29
0.46375,7.29
0.46625,6.99
0.46875,7.19
0.47125,7.19
0.47375,7.09
0.47625,7.88
0.47875,7.49
0.48125,7.19
0.48375,7.39
0.48625,7.49
0.48875,7.39
0.49125,6.99
0.49375,7.19
0.49625,7.39
0.49875,7.09
0.50125,7.29
0.50375,6.7
0.50625,7.39
0.50875,7.29
0.51125,7.78
0.51375,7.68
0.51625,7.59
0.51875,7.49
0.52125,7.59
0.52375,7.78
0.52625,7.29
0.52875,7.59
0.53125,7.19
0.53375,6.89
0.53625,6.4
0.53875,6.79
0.54125,7.29
0.54375,7.88
0.54625,7.29
0.54875,7.09
0.55125,7.29
0.55375,7.49
0.55625,7.19
0.55875,6.7
0.56125,7.19
0.56375,7.29
0.56625,7.39
0.56875,7.59
0.57125,7.59
0.57375,7.49
0.57625,7.49
0.57875,7.49
0.58125,7.09
0.58375,7.09
0.58625,7.49
0.58875,7.19
0.59125,7.39
0.59375,7.39
0.59625,7.88
0.59875,7.19
0.60125,6.79
0.60375,6.99
0.60625,7.68
0.60875,7.78
0.61125,7.59
0.61375,7.98
0.61625,7.59
0.61875,7.09
0.62125,7.39
0.62375,7.19
0.62625,7.39
0.62875,7.29
0.63125,7.19
0.63375,7.88
0.63625,7.68
0.63875,7.49
0.64125,7.88
0.64375,8.08
0.64625,8.38
0.64875,7.88
0.65125,7.78
0.65375,7.68
0.65625,7.98
0.65875,7.98
0.66125,8.38
0.66375,7.88
0.66625,7.98
0.66875,8.08
0.67125,8.08
0.67375,7.98
0.67625,7.88
0.67875,7.68
0.68125,7.59
0.68375,7.19
0.68625,7.29
0.68875,7.68
0.69125,6.79
0.69375,6.99
0.69625,7.59
0.69875,7.49
0.70125,7.29
0.70375,7.19
0.70625,7.68
0.70875,7.98
0.71125,7.49
0.71375,7.49
0.71625,8.18
0.71875,8.08
0.72125,7.59
0.72375,7.78
0.72625,8.38
0.72875,8.28
0.73125,8.08
0.73375,7.88
0.73625,7.78
0.73875,7.88
0.74125,7.39
0.74375,6.89
0.74625,7.68
0.74875,7.98
0.75125,7.68
0.75375,7.98
0.75625,7.88
0.75875,7.09
0.76125,7.19
0.76375,7.39
0.76625,7.39
0.76875,7.68
0.77125,7.68
0.77375,7.88
0.77625,7.59
0.77875,8.08
0.78125,7.68
0.78375,7.68
0.78625,8.18
0.78875,7.98
0.79125,8.48
0.79375,8.38
0.79625,7.88
