8310450,1997,71,468,-65,237,50,-148,-307,-152,0
8310452,2128,30,524,-61,247,59,-148,-312,-152,0
8310454,2099,-10,534,-60,253,63,-148,-312,-152,0
8310456,2104,-3,517,-59,249,58,-142,-318,-154,0
8310458,2104,-3,517,-62,239,48,-142,-318,-154,0
8310460,2135,-27,559,-62,239,48,-144,-313,-147,0
8310463,2079,-4,514,-64,232,40,-144,-313,-147,0
8310466,2113,-52,523,-63,220,31,-144,-313,-147,0
8310469,2112,-46,523,-66,208,21,-146,-315,-162,0
8310472,2040,-75,563,-66,194,12,-146,-315,-162,0
8310474,2040,-75,563,-68,175,3,-146,-298,-146,0
8310476,2087,-68,560,-68,175,3,-146,-298,-146,0
8310478,2049,-102,574,-70,148,-8,-146,-298,-146,0
8310480,2051,-82,576,-74,118,-19,-154,-316,-147,0
8310482,2028,-44,589,-74,85,-31,-154,-316,-147,0
8310484,2028,-44,589,-83,57,-41,-146,-310,-141,0
8310486,1965,-69,585,-83,57,-41,-146,-310,-141,0
8310489,1909,0,523,-89,35,-50,-146,-310,-141,0
8310492,1950,-3,510,-94,19,-54,-142,-306,-147,0
8310495,1996,-2,473,-99,18,-58,-142,-306,-147,0
8310497,1960,-36,468,-102,21,-54,-143,-312,-146,0
8310499,1960,-36,468,-106,34,-46,-143,-312,-146,0
8310501,1867,-50,508,-106,34,-46,-138,-312,-152,0
8310503,1901,-115,529,-104,50,-33,-138,-312,-152,0
8310505,1903,-95,522,-104,70,-19,-138,-312,-152,0
8310507,1879,-106,486,-106,85,2,-150,-315,-146,0
8310509,1941,-65,515,-104,97,21,-150,-315,-146,0
8310512,1941,-65,515,-106,105,43,-144,-304,-147,0
8310515,1960,-107,606,-106,105,43,-144,-304,-147,0
8310518,1934,-116,580,-107,108,58,-144,-304,-147,0
8310520,1921,-53,587,-109,106,71,-144,-299,-154,0
8310522,1915,-75,588,-114,104,81,-144,-299,-154,0
8310524,1915,-75,588,-117,103,90,-138,-312,-146,0
8310526,1963,-125,681,-117,103,90,-138,-312,-146,0
8310528,1992,-76,648,-117,97,96,-138,-312,-146,0
8310530,2005,-53,637,-117,94,102,-150,-310,-146,0
8310532,2010,-68,691,-112,92,103,-150,-310,-146,0
8310534,1981,-47,720,-104,91,106,-153,-312,-148,0
8310537,1981,-47,720,-94,89,108,-153,-312,-148,0
8310540,2046,-88,724,-94,89,108,-153,-312,-148,0
8310543,2024,-106,721,-80,82,109,-153,-319,-146,0
